"Customers created: ","289"
"Customer ID","Arrival","Time to Check Out","Departure","Total Wait","Line Number"
"0","3","2","5","2","0"
"1","7","1","8","1","0"
"3","11","4","15","4","0"
"5","14","4","21","7","0"
"8","21","4","27","6","0"
"11","30","4","34","4","0"
"12","33","1","37","4","0"
"14","39","4","43","4","0"
"15","40","3","48","8","0"
"17","45","2","52","7","0"
"19","49","2","56","7","0"
"21","56","4","62","6","0"
"24","65","4","69","4","0"
"25","68","2","73","5","0"
"27","71","1","76","5","0"
"29","75","3","81","6","0"
"34","85","2","87","2","0"
"35","89","2","91","2","0"
"36","92","1","94","2","0"
"38","96","4","100","4","0"
"40","102","4","106","4","0"
"41","105","4","112","7","0"
"44","116","1","117","1","0"
"45","119","1","120","1","0"
"46","123","2","125","2","0"
"48","128","4","132","4","0"
"51","137","3","140","3","0"
"54","143","3","146","3","0"
"55","145","1","149","4","0"
"57","153","3","156","3","0"
"59","157","4","162","5","0"
"61","162","1","165","3","0"
"63","167","1","168","1","0"
"64","169","3","173","4","0"
"67","174","1","176","2","0"
"69","178","2","180","2","0"
"70","179","4","186","7","0"
"73","187","2","190","3","0"
"75","193","1","194","1","0"
"76","194","1","197","3","0"
"77","199","4","203","4","0"
"79","205","2","207","2","0"
"81","210","3","213","3","0"
"84","215","2","217","2","0"
"85","219","2","221","2","0"
"87","223","3","226","3","0"
"89","228","4","232","4","0"
"90","229","2","236","7","0"
"93","240","1","241","1","0"
"94","243","3","246","3","0"
"96","251","1","252","1","0"
"97","254","4","258","4","0"
"99","258","4","264","6","0"
"100","260","3","269","9","0"
"102","265","4","275","10","0"
"105","273","3","280","7","0"
"106","275","4","286","11","0"
"110","281","3","291","10","0"
"112","284","1","294","10","0"
"113","287","3","299","12","0"
"114","289","1","302","13","0"
"116","293","3","307","14","0"
"117","295","4","313","18","0"
"121","307","3","318","11","0"
"123","310","2","322","12","0"
"124","311","3","327","16","0"
"127","315","3","332","17","0"
"128","318","4","338","20","0"
"129","320","2","342","22","0"
"132","325","2","346","21","0"
"133","329","2","350","21","0"
"136","334","1","353","19","0"
"142","349","4","359","10","0"
"143","351","2","363","12","0"
"146","359","4","369","10","0"
"149","365","2","373","8","0"
"150","368","4","379","11","0"
"151","371","2","383","12","0"
"152","374","2","387","13","0"
"153","375","3","392","17","0"
"155","378","4","398","20","0"
"156","380","2","402","22","0"
"157","384","2","406","22","0"
"158","386","1","409","23","0"
"159","387","2","413","26","0"
"164","394","1","416","22","0"
"165","396","4","422","26","0"
"167","400","1","425","25","0"
"169","405","2","429","24","0"
"173","416","3","434","18","0"
"175","420","4","440","20","0"
"177","423","1","443","20","0"
"178","426","1","446","20","0"
"182","435","2","450","15","0"
"186","448","4","456","8","0"
"191","459","1","460","1","0"
"192","462","2","464","2","0"
"193","466","3","469","3","0"
"194","469","1","472","3","0"
"197","477","4","481","4","0"
"201","485","1","486","1","0"
"202","487","2","490","3","0"
"203","490","3","495","5","0"
"204","494","3","500","6","0"
"206","497","2","504","7","0"
"207","499","1","507","8","0"
"210","506","3","512","6","0"
"211","510","1","515","5","0"
"213","519","2","521","2","0"
"214","522","1","524","2","0"
"216","527","4","531","4","0"
"217","530","2","535","5","0"
"219","536","2","539","3","0"
"221","541","2","543","2","0"
"222","544","2","547","3","0"
"224","552","4","556","4","0"
"226","558","4","562","4","0"
"229","565","3","568","3","0"
"230","566","3","573","7","0"
"232","570","4","579","9","0"
"233","574","1","582","8","0"
"236","585","3","588","3","0"
"239","592","3","595","3","0"
"241","598","1","599","1","0"
"242","601","2","603","2","0"
"244","605","4","609","4","0"
"246","611","1","612","1","0"
"248","616","2","618","2","0"
"250","622","4","626","4","0"
"253","628","3","631","3","0"
"254","630","1","634","4","0"
"255","631","1","637","6","0"
"258","641","4","645","4","0"
"260","645","1","648","3","0"
"261","648","3","653","5","0"
"263","653","3","658","5","0"
"267","663","1","664","1","0"
"269","666","3","669","3","0"
"270","668","1","672","4","0"
"271","671","4","678","7","0"
"274","680","2","682","2","0"
"275","681","4","688","7","0"
"276","683","2","692","9","0"
"280","691","2","696","5","0"
"281","695","3","701","6","0"
"283","703","1","704","1","0"
"285","708","3","711","3","0"
"287","713","3","716","3","0"
"2","8","2","10","2","1"
"4","12","3","15","3","1"
"6","17","3","20","3","1"
"7","19","3","25","6","1"
"9","24","4","31","7","1"
"10","27","3","36","9","1"
"13","37","2","40","3","1"
"16","42","3","45","3","1"
"18","47","3","50","3","1"
"20","54","1","55","1","1"
